tam_nguyen,thu_tu,thien_can,dia_chi,hoa_giap,nap_am,nam_mau
Hạ Nguyên,48,Nhâm,Tý,Nhâm Tý,Tang Đố Mộc,2032
Hạ Nguyên,49,Quý,Sửu,Quý Sửu,Tang Đố Mộc,2033
Hạ Nguyên,50,Giáp,Dần,Giáp Dần,Đại Khê Thủy,2034
Hạ Nguyên,51,Ất,Mão,Ất Mão,Đại Khê Thủy,2035
Hạ Nguyên,52,Bính,Thìn,Bính Thìn,Sa Trung Thổ,2036
Hạ Nguyên,53,Đinh,Tỵ,Đinh Tỵ,Sa Trung Thổ,2037
Hạ Nguyên,54,Mậu,Ngọ,Mậu Ngọ,Thiên Thượng Hỏa,2038
Hạ Nguyên,55,Kỷ,Mùi,Kỷ Mùi,Thiên Thượng Hỏa,2039
Hạ Nguyên,56,Canh,Thân,Canh Thân,Thạch Lựu Mộc,2040
Hạ Nguyên,57,Tân,Dậu,Tân Dậu,Thạch Lựu Mộc,2041
Hạ Nguyên,58,Nhâm,Tuất,Nhâm Tuất,Đại Hải Thủy,2042
Hạ Nguyên,59,Quý,Hợi,Quý Hợi,Đại Hải Thủy,2043
